'2026-05-29 16:08:22 {main} INFO  c.u.m.n.NotificacionServiceApplication - Starting NotificacionServiceApplication using Java 17.0.12 with PID 7716 (D:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service\target\classes started by Soporte in D:\Proyecto - Progra 3\Revision Final\Proyecto-Final-Progra-3\Backend(Spring Boot)\Proyecto-Final-Progra-3-master\Hospital_La_Bendicion\microservicios\notificacion-service)
''2026-05-29 16:08:23 {main} INFO  c.u.m.n.NotificacionServiceApplication - No active profile set, falling back to 1 default profile: "default"
''2026-05-29 16:08:23 {main} INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8888
''2026-05-29 16:08:23 {main} INFO  o.s.c.c.c.ConfigServerConfigDataLoader - Located environment: name=notificacion-service, profiles=[default], label=null, version=null, state=null
''2026-05-29 16:08:25 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
''2026-05-29 16:08:26 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 483 ms. Found 1 JPA repository interface.
''2026-05-29 16:08:27 {main} INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2833f708-7d12-38ff-aa81-e4bfb1ca42a2
''2026-05-29 16:08:28 {main} INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8099 (http)
''2026-05-29 16:08:29 {main} INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
''2026-05-29 16:08:29 {main} INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
''2026-05-29 16:08:29 {main} INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
''2026-05-29 16:08:29 {main} INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 6102 ms
